id,citation,url,watershed_name,figure_num,figure_caption,figure_url,attribution,attribution_url,spatial_property,spatial_property_original,num_spatial_zones,temporal_property,temporal_property_original,num_temporal_zones,vegetation_info,vegetation_info_original,soil_info,soil_info_original,geol_info,geol_info_original,topo_info,topo_info_original,three_d_info,three_d_info_original,uncertainty_info,uncertainty_info_original,other_info,num_flux_from_sql,flux_list_from_sql,num_flux_hilary,flux1,flux1_taxonomy,flux2,flux2_taxonomy,flux3,flux3_taxonomy,flux4,flux4_taxonomy,flux5,flux5_taxonomy,flux6,flux6_taxonomy,flux7,flux7_taxonomy,flux8,flux8_taxonomy,flux9,flux9_taxonomy,flux10,flux10_taxonomy,flux11,flux11_taxonomy,flux12,flux12_taxonomy,flux13,flux13_taxonomy,flux14,flux14_taxonomy,num_store,store_list,num_stores,store1,store1_taxonomy,store2,store2_taxonomy,store3,store3_taxonomy,store4,store4_taxonomy,store5,store5_taxonomy,store6,store6_taxonomy,store7,store7_taxonomy,store8,store8_taxonomy,store9,store9_taxonomy,store10,store10_taxonomy
42,"Spence, C, SV Kokelj, SA Kokelj, M McCluskie, and N Hedstrom. “Evidence of a Change in Water Chemistry in Canada’s Subarctic Associated with Enhanced Winter Streamflow.” Journal of Geophysical Research: Biogeosciences 120, no. 1 (2015): 113–27.",https://doi.org/10.1002/2014JG002809,"Baker Creek watershed, Yellowknife Northwest Territories",10,"Conceptual model of seasonal water, carbon, nitrogen, and TDS flux from northern Precambrian Shield catchments. The grey represents Precambrian bedrock, exposed on upper hillslopes and underlying other landscape units. The orange and green denote conditions of dormant and active vegetation, respectively, in soil-filled areas. The blue represents ponds and lakes along a discontinuous stream network. The hatched area in the soil-filled area refers to the zone of high hydraulic conductivity close to the topographic surface. The frost and water tables are denoted by the white dotted and black dashed lines, respectively. Ice and snow are represented by white patches, rain by droplets. The fluxes of water, DOC, TDS, and inorganic nitrogen are shown with blue, black, red, and green arrows, respectively. The thickness of the arrows denotes the relative flux. The different seasons are represented in (a) spring freshet, (b) late summer, (c) a wet autumn, and (d) winter with enhanced streamflow",https://agupubs.onlinelibrary.wiley.com/cms/asset/897a2a69-c42f-4c75-be5d-832b637f6314/jgrg20322-fig-0010-m.png,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,N,N,1,Season with snow,"Spring freshet, Late summer, Wet autumn, Winter with enhanced streamflow",4,Seasonal change discussed,Only dormant/active,N,N,N,N,N,N,N,N,N,N,"Also shows fluxes of DOC, TDS, and inorganic nitrogen",6.0,"IE flow from impermeable areas, Channel flow, Infiltration, Exfiltration, Evapotranspiration, Subsurface stormflow",6.0,Infiltration,Infiltration, surface flow,IE flow from impermeable areas, channel flow,Channel flow, discharge from bedrock into (riparian) soils,Exfiltration  , discharge from soils into channel (none labelled),Subsurface stormflow,evapotranspiration,Evapotranspiration,,,,,,,,,,,,,,,,,8.0,"Groundwater storage, Soil water storage, Lake storage, Soil water storage, Soil water storage, Water Table, Seasonal soil freeze/thaw, Snow storage",8.0,Precambrian bedrock,Groundwater Storage, soil with active vegetation,Soil water storage, soil with dormant vegetation,Soil water storage , dicontinuous ponds/lakes,Lake storage, (soil) zone of high hydraulic conductivity (close to surface),Soil water storage , frost layer,Seasonal soil freeze/thaw, water table,Water Table, snow,Snow storage,,,,
43,"Tani, M., 1997. Runoff generation processes estimated from hydrological observations on a steep forested hillslope with a thin soil layer. J. Hydrol. 200, 84–10 ",https://doi.org/10.1016/S0022-1694(97)00018-8,Tatsunokuchi-yama Experimental Forest,15,Not open-access,,Not open-access,,N,N,1,Wetness,Wetting transition/wettest condition,2,N,N,N,N,N,N,N,N,N,N,N,N,Soil property (organic/mineral),5.0,"Organic layer interflow, Vertical matrix flow, Lateral macropore flow at soil-bedrock interface, Vertical macropore flow, Connectivity of lateral preferential flow pathways",5.0,Local flow (surface),Organic layer interflow, bypass flow,Vertical macropore flow, vertical soil matrix flow,Vertical matrix flow, expansion of contributing area (on bedrock surface),Connectivity of lateral preferential flow pathways, lateral preferential flow (on bedrock surface),Lateral macropore flow at soil-bedrock interface,,,,,,,,,,,,,,,,,,,4.0,"Bedrock hollows, Depression storage, Soil water storage, Organic Layer",4.0,Local ponding (surface),Depression storage, organic soil,Organic Layer, mineral soil,Soil water storage, local contributing area (on bedrock surface),Bedrock hollows,,,,,,,,,,,,
44,"Tetzlaff, D, Buttle, J, Carey, SK, McGuire, K, Laudon, H, and Soulsby, C (2015), Tracer-based assessment of flow paths, storage and runoff generation in northern catchments: a review. Hydrol. Process., 29, 3475– 3490.",https://doi.org/10.1002/hyp.10412,Wolf Creek,2a,Not open-access,,Not open-access,,Process,Permafrost Occurs,2,N,N,2,Vegetation described,Y,Soil types described,Y,N,N,Slopes described,Change in slope,N,N,N,N,,3.0,"Vertical macropore flow, Vertical drainage to groundwater, Organic layer interflow",3.0, Preferential/pipeflow,Vertical macropore flow, Shallow sub-surface stormflow,Organic layer interflow, groundwater recharge,Vertical drainage to groundwater,,,,,,,,,,,,,,,,,,,,,,,3.0,"Soil water storage, Permafrost storage, Organic Layer",3.0,Organic layer,Organic Layer, Mineral Soils,Soil water storage, Permafrost,Permafrost storage,,,,,,,,,,,,,,
45,"Tetzlaff, D, Buttle, J, Carey, SK, McGuire, K, Laudon, H, and Soulsby, C (2015), Tracer-based assessment of flow paths, storage and runoff generation in northern catchments: a review. Hydrol. Process., 29, 3475– 3490.",https://doi.org/10.1002/hyp.10412,Krycklan,2b,Not open-access,,Not open-access,,N,N,1,N,N,4,Vegetation described,Y,Soil types described,Y,N,N,Topography described,Varying thickness/slope of humic layer,N,N,N,N,,3.0,"Lateral matrix flow, Vertical drainage to groundwater, Subsurface stormflow",3.0, Shallow sub-surface flow,Subsurface stormflow, stormflow as transmissivity feedback,Lateral matrix flow, Groundwater recharge,Vertical drainage to groundwater,,,,,,,,,,,,,,,,,,,,,,,4.0,"Organic Layer, Soil water storage, Soil water storage, Channel storage",4.0,Humic layer,Organic Layer, peat,Soil water storage, till,Soil water storage , incised streams,Channel storage,,,,,,,,,,,,
46,"Tetzlaff, D, Buttle, J, Carey, SK, McGuire, K, Laudon, H, and Soulsby, C (2015), Tracer-based assessment of flow paths, storage and runoff generation in northern catchments: a review. Hydrol. Process., 29, 3475– 3490.",https://doi.org/10.1002/hyp.10412,"Girnock, Scotland",2c,Not open-access,,Not open-access,,N,N,1,N,N,4,Vegetation described,Y,Soil types described,Y,N,N,Slopes described,Change in slope,N,N,N,N,Soil property (free-draining),4.0,"Saturation excess flow, Vertical drainage to groundwater, Subsurface stormflow, Return Flow",4.0, Saturation overland flow,Saturation excess flow, return flow,Return Flow, shallow sub-surface flow,Subsurface stormflow, groundwater recharge,Vertical drainage to groundwater,,,,,,,,,,,,,,,,,,,,,5.0,"Soil water storage, Soil water storage, Channel storage, Groundwater storage, Organic Layer",5.0,Stream,Channel storage, Organic,Organic Layer, Peat,Soil water storage, Freely-draining Podzol,Soil water storage , Bedrock,Groundwater Storage,,,,,,,,,,
47,"Uchida T, Asano Y, Ohte N, Mizuyama T. 2003. Analysis of flowpath dynamics in a steep unchannelled hollow in the Tanakami Mountains of Japan. Hydrological Processes 17 (2): 417–430 DOI: 10.1002/hyp.1133",https://doi.org/10.1002/hyp.1133,"Fudoji Experimental Watershed, Tanakami Mountain",8,Not open-access,,Not open-access,,N,N,1,Event,"Baseflow, stormflow",2,N,N,N,N,Geological types described,Y,Topography described,N,N,N,N,N,"Shows lateral and vertical scale, shows zones of different N-4 in soil",6.0,"Springflow, Groundwater flow, Variable source area - subsurface stormflow, Lateral macropore flow, Vertical matrix flow, Springflow",7.0,Water table rise (not labelled),Water table rise, water flow in bedrock,Groundwater flow, water flow in soil layer,Vertical matrix flow, lateral preferential flow,Lateral macropore flow, bedrock spring,Springflow  , spring,Springflow , expansion of source area of spring,Variable source area - subsurface stormflow,,,,,,,,,,,,,,,3.0,"Water table rise, Water Table, Groundwater storage",2.0,Bedrock,Groundwater Storage, water table,Water Table,,,,,,,,,,,,,,,,
48,"Uchida, Taro, Ken’ichirou Kosugi, and Takahisa Mizuyama. “Effects of Pipe Flow and Bedrock Groundwater on Runoff Generation in a Steep Headwater Catchment in Ashiu, Central Japan.” Water Resources Research 38, no. 7 (2002): 24–1.",https://doi.org/10.1029/2001WR000261,"Toinotani watershed, Kyoto University Forest, Ashiu",2,Longitudinal slope profile of the soil layer at the lower end of Toinotani watershed. (top) Layout of the measurement apparatus. (bottom) Conceptual model of hydrological flow paths in Toinotani,https://agupubs.onlinelibrary.wiley.com/cms/asset/eb88fa12-4a85-4249-8219-9b6117c49049/wrcr8980-fig-0002.png,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,N,N,1,N,N,1,N,N,N,N,N,N,Slopes described,Marks near-spring and upslope areas,N,N,N,N,"Shows scale in vertical and horizontal, figure shows longitudinal profile",4.0,"Overland Flow, Return Flow, Springflow, Channel flow",4.0,Return flow from soil pipe,Return Flow, overland flow,Overland flow, springflow,Springflow, streamflow,Channel flow,,,,,,,,,,,,,,,,,,,,,1.0,Soil water storage,1.0,Soil layer,Soil water storage,,,,,,,,,,,,,,,,,,
49,"Uhlenbrook, S, and Ch Leibundgut. “Process-Oriented Catchment Modelling and Multiple-Response Validation.” Hydrological Processes 16, no. 2 (2002): 423–40.",https://doi.org/10.1002/hyp.330,"Brugga experimental basin, Black Forest Mountains",2,Not open-access,,Not open-access,,N,N,1,N,N,1,N,N,N,N,N,N,Slopes described,Different slopes shown on sides of valley,N,N,N,N,"Runoff components grouped as near surface runoff, shallow groundwater, deep groundwater",7.0,"Pistonflow, Infiltration excess flow, Pistonflow, Lateral matrix flow, Lateral macropore flow, Groundwater flow, Saturation excess flow",8.0,Horton overland flow,Infiltration excess flow, saturation overland flow,Saturation excess flow, macropore flow,Lateral macropore flow, piston flow,Pistonflow, groundwater ridging,Groundwater ridging, transimissivity feedback,Lateral matrix flow, matrix flow,Groundwater flow , flow from fissured aquifer (discharge into stream),Pistonflow ,,,,,,,,,,,,,4.0,"Soil water storage, Groundwater ridging, Perched water tables, Bedrock fracture storage",3.0,Soil (not labelled),Soil water storage, fissured bedrock,Bedrock fracture storage,perched aquifers,Perched water tables,,,,,,,,,,,,,,
50,"Viglione, Alberto, Magdalena Rogger, Herbert Pirkl, Juraj Parajka, and Günter Blöschl. “Conceptual Model Building Inspired by Field-Mapped Runoff Generation Mechanisms.” Journal of Hydrology and Hydromechanics 66, no. 3 (2018): 303–15.",https://doi.org/10.2478/johh-2018-0010,Dornbirnerach,2a,Hydrogeologic  runoff  process  map  of  the  four  austrian  catchments:  (a)  Dornbirnerach;  (b)  Gail;  (c)  Wimitzbach;  and  (d)  Perschling,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/ad7ef31c611f44ed82200008716ae793/data,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,Process,Y - location of each process,6,N,N,1,N,N,N,N,N,N,N,N,N,N,N,N,"Unusual - plan view where location of different dominant processes is mapped, scale shown",6.0,"Subsurface stormflow, Subsurface stormflow, Overland Flow, Saturation excess flow, Subsurface stormflow, Riparian Groundwater Flow",6.0,Surface runoff,Saturation excess flow, groundwater flow in alluvial sediment,Riparian Groundwater Flow, deep interflow - large storage,Subsurface stormflow, deep interflow - small storage,Subsurface stormflow , surface runoff - karst,Overland flow, shallow interflow - general,Subsurface stormflow ,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
51,"Viglione, Alberto, Magdalena Rogger, Herbert Pirkl, Juraj Parajka, and Günter Blöschl. “Conceptual Model Building Inspired by Field-Mapped Runoff Generation Mechanisms.” Journal of Hydrology and Hydromechanics 66, no. 3 (2018): 303–15.",https://doi.org/10.2478/johh-2018-0010,Gail,2b,Hydrogeologic  runoff  process  map  of  the  four  austrian  catchments:  (a)  Dornbirnerach;  (b)  Gail;  (c)  Wimitzbach;  and  (d)  Perschling,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/ad7ef31c611f44ed82200008716ae793/data,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,Process,Y - location of each process,7,N,N,1,N,N,N,N,N,N,N,N,N,N,N,N,"Unusual - plan view where location of different dominant processes is mapped, scale shown",7.0,"Groundwater flow, Subsurface stormflow, Riparian Groundwater Flow, Overland Flow, Subsurface stormflow, Overland Flow, Subsurface stormflow",7.0,Surface runoff,Overland flow, groundwater flow in alluvial sediment,Riparian Groundwater Flow, deep groundwater flow,Groundwater flow, deep interflow - large storage,Subsurface stormflow, deep interflow - small storage,Subsurface stormflow , surface runoff - karst,Overland flow , shallow interflow - general,Subsurface stormflow ,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
52,"Viglione, Alberto, Magdalena Rogger, Herbert Pirkl, Juraj Parajka, and Günter Blöschl. “Conceptual Model Building Inspired by Field-Mapped Runoff Generation Mechanisms.” Journal of Hydrology and Hydromechanics 66, no. 3 (2018): 303–15.",https://doi.org/10.2478/johh-2018-0010,Wimitzbach,2c,Hydrogeologic  runoff  process  map  of  the  four  austrian  catchments:  (a)  Dornbirnerach;  (b)  Gail;  (c)  Wimitzbach;  and  (d)  Perschling,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/ad7ef31c611f44ed82200008716ae793/data,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,Process,Y - location of each process,6,N,N,1,N,N,N,N,N,N,N,N,N,N,N,N,"Unusual - plan view where location of different dominant processes is mapped, scale shown",6.0,"Subsurface stormflow, IE flow from impermeable areas, Riparian Groundwater Flow, Subsurface stormflow, Subsurface stormflow, Overland Flow",6.0,Surface runoff,IE flow from impermeable areas, groundwater flow in alluvial sediment,Riparian Groundwater Flow, deep interflow - large storage,Subsurface stormflow, deep interflow - small storage,Subsurface stormflow , surface runoff - karst,Overland flow, shallow interflow - general,Subsurface stormflow ,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
53,"Viglione, Alberto, Magdalena Rogger, Herbert Pirkl, Juraj Parajka, and Günter Blöschl. “Conceptual Model Building Inspired by Field-Mapped Runoff Generation Mechanisms.” Journal of Hydrology and Hydromechanics 66, no. 3 (2018): 303–15.",https://doi.org/10.2478/johh-2018-0010,Perschling,2d,Hydrogeologic  runoff  process  map  of  the  four  austrian  catchments:  (a)  Dornbirnerach;  (b)  Gail;  (c)  Wimitzbach;  and  (d)  Perschling,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/ad7ef31c611f44ed82200008716ae793/data,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,Process,Y - location of each process,4,N,N,1,N,N,N,N,Geological types described,Y - for interflow,N,N,N,N,N,N,"Unusual - plan view where location of different dominant processes is mapped, scale shown",4.0,"Riparian Groundwater Flow, Subsurface stormflow, Saturation excess flow, Subsurface stormflow",4.0,Surface runoff,Saturation excess flow, groundwater flow in alluvial sediment,Riparian Groundwater Flow, shallow interflow - Molasse,Subsurface stormflow, shallow interflow - Flysch,Subsurface stormflow ,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
54,"Vitvar T, Jankovec J, Šanda M. 2022. Revealing subsurface processes in the Uhlířská catchment through combined modelling of unsaturated and saturated flow. Hydrological processes 36 (3): e14516 DOI: 10.1002/hyp.14516",https://doi.org/10.1002/hyp.14516,Uhlířská,6,Not open-access,,Not open-access,,Topography,Slopes/Wetlands,2,N,N,1,N,N,Soil types described,Y,Geological types described,Y,Scale bar shown,Vertical and lateral scales,N,N,N,N,Areas of slopes/wetlands given,8.0,"Vertical macropore flow, Groundwater flow, Subsurface stormflow, SE flow from riparian zone, Evapotranspiration, Gaining stream, Lateral macropore flow, Vertical drainage to groundwater",8.0,Lateral subsurface flow,Subsurface stormflow, lateral preferential macropore flow,Lateral macropore flow, surface flow,SE flow from riparian zone, vertical matrix recharge,Vertical drainage to groundwater, vertical preferential macropore recharge,Vertical macropore flow, groundwater flow,Groundwater flow, baseflow discharge to stream,Gaining stream,ETP,Evapotranspiration,,,,,,,,,,,,,5.0,"Bedrock fracture storage, Groundwater storage, Soil water storage, Soil water storage, Groundwater storage",5.0,Cambisol,Soil water storage, histosol,Soil water storage , weathered granite,Groundwater Storage, granitic sediments,Groundwater Storage , fractured bedrock,Bedrock fracture storage,,,,,,,,,,
55,"Wang, Sheng, Zhiyong Fu, Hongsong Chen, Yunpeng Nie, and Qinxue Xu. “Mechanisms of Surface and Subsurface Runoff Generation in Subtropical Soil-Epikarst Systems: Implications of Rainfall Simulation Experiments on Karst Slope.” Journal of Hydrology 580 (2020): 124370.",https://doi.org/10.1016/j.jhydrol.2019.124370,"Mulian watershed, Huanjiang county, Guangxi",7,Not open-access,,Not open-access,,N,N,1,Rainfall intensity,"By rainfall rate compared to conductivity and other thresholds: in periods (a) and during rainy periods, when2R Ki SEI (b),
when)R Ki SEI and2P P_t SSR (c), when)R Ki SEI and2 2P P P_ _t SRR t SR (d), and when)R Ki SEI and)P P_t SR (e)",5,N,N,N,N,N,N,N,N,3D graphics,Shown in 3D but little info except picture of surface ponding,N,N,All stores are shown separately where they are dry or filled with water,8.0,"Subsurface stormflow, Evapotranspiration, Vertical drainage to groundwater, Lateral macropore flow at soil-bedrock interface, Saturation excess flow, Groundwater flow, Infiltration, Infiltration into bedrock",8.0,Infiltration,Infiltration, filling (of bedrock hollows),Vertical drainage to groundwater, fill-and-spill,Lateral macropore flow at soil-bedrock interface, surface runoff,Saturation excess flow, subsurface runoff,Subsurface stormflow, epikarst seepage runoff,Groundwater flow, deep percolation,Infiltration into bedrock,evapotranspiration,Evapotranspiration,,,,,,,,,,,,,7.0,"Groundwater storage, Soil saturation, Soil water storage, Bedrock hollows, Depression storage, Bedrock fracture storage, Groundwater storage",7.0,Surface ponding (not labelled),Depression storage, soil,Soil water storage, epikarst,Groundwater Storage, bedrock,Groundwater Storage , depressions on bedrock surface,Bedrock hollows, saturated area,Soil saturation, fissures or conduits,Bedrock fracture storage,,,,,,
56,"Wenninger J, Uhlenbrook S, Lorentz S, Leibundgut C. 2008. Identification of runoff generation processes using combined hydrometric, tracer and geophysical methods in a headwater catchment in South Africa / Identification des processus de génération de l’écoulement par combinaison de méthodes hydrométriques, de traçage et géophysiques dans un bassin versant sud-africain. Hydrological Sciences Journal 53 (2): 500–500 DOI: 10.1623/hysj.53.2.500",https://doi.org/10.1623/hysj.53.1.65,Weatherley catchment,10,Not open-access,,Not open-access,,Hillslope position,Upper and lower hillslopes described separately,2,N,N,1,Vegetation described,Different grass/vegetation/marsh icons,N,N,N,N,Topography described,"Slopes shown, with vertical scale exagerration",N,N,N,N,Caption describes the measurement types used to infer each process,9.0,"Vertical drainage to groundwater, Exfiltration, Lateral macropore flow, Gaining stream, Evapotranspiration, Subsurface stormflow, Water loss to deep groundwater, Exfiltration, Pistonflow",9.0,Lateral macropore flow in upper perched water table,Lateral macropore flow, seeps where upper perched water table meets bedrock outcrop,Exfiltration, slow percolation through soil,Vertical drainage to groundwater, slow percolation through fractured bedrock,Pistonflow, recharge of regional groundwater,Water loss to deep groundwater, rapid lateral flow in soils,Subsurface stormflow, near-stream exfiltration through macropores and pipes,Exfiltration, groundwater hydraulic control (=discharge of groundwater to stream),Gaining stream,ET,Evapotranspiration,,,,,,,,,,,6.0,"Channel storage, Regional Groundwater storage, Riparian aquifer storage, Perched water tables, Bedrock fracture storage, Bedrock hollows",6.0,Upper perched water table,Perched water tables, water in bedrock hollows,Bedrock hollows, fractured bedrock,Bedrock fracture storage, marsh groundwater,Riparian aquifer storage, regional groundwater system,Regional Groundwater Storage, stream (all in caption),Channel storage,,,,,,,,
57,"Wenninger, Jochen, Stefan Uhlenbrook, Nils Tilch, and Christian Leibundgut. “Experimental Evidence of Fast Groundwater Responses in a Hillslope/Floodplain Area in the Black Forest Mountains, Germany.” Hydrological Processes 18, no. 17 (2004): 3305–22.",https://doi.org/10.1002/hyp.5686,"Brugga experimental basin, Black Forest Mountains",10,Not open-access,,Not open-access,,N,N,1,N,N,1,N,N,N,N,N,N,Topography described,Slopes in diagram,N,N,N,N,,8.0,"Saturation excess flow, Pistonflow, Groundwater flow, Lateral macropore flow, Vertical drainage to groundwater, Subsurface stormflow, Springflow, Evapotranspiration",8.0,Groundwater flow,Groundwater flow, spring,Springflow, saturation overland flow,Saturation excess flow, partial percolation (through aquitard),Vertical drainage to groundwater, lateral macropore flow,Lateral macropore flow, interflow,Subsurface stormflow, pistonflow,Pistonflow,evapotranspiration,Evapotranspiration,,,,,,,,,,,,,5.0,"Groundwater storage, Bedrock fracture storage, Channel storage, Water Table, Soil water storage",5.0, boulder field,Soil water storage, aquifer,Groundwater Storage, fractured crystalline bedrock,Bedrock fracture storage, water table,Water table, stream,Channel storage,,,,,,,,,,
58,"Wrede S, Fenicia F, Martínez-Carreras N, Juilleret J, Hissler C, Krein A, Savenije HHG, Uhlenbrook S, Kavetski D, Pfister L. 2015. Towards more systematic perceptual model development: a case study using 3 Luxembourgish catchments. Hydrological processes 29 (12): 2731–2750",https://doi.org/10.1002/hyp.10393,Huewelerbach catchments,2 part C,Not open-access,,Not open-access,,N,N,1,N,N,1,N,N,N,N,Geological types described,Y,Slopes described,Shows slopes of cross-section,N,N,Uncertainty described,"Y, by arrow type for high/med/low confidence level","Shows speed of process by arrow length, shows which process knowledge gained by which catchment investigation/data type",4.0,"Subsurface stormflow, Vertical drainage to groundwater, Saturation excess flow, Return Flow",4.0,Deep percolation,Vertical drainage to groundwater, groundwater flow,Return flow, lateral subsurface flow (soil),Subsurface stormflow, saturation overland flow,Saturation excess flow,,,,,,,,,,,,,,,,,,,,,4.0,"Soil water storage, Groundwater storage, Groundwater storage, Soil water storage",4.0,Soil,Soil water storage, Periglacial coverbed,Soil water storage , groundwater,Groundwater Storage, marl,Groundwater Storage ,,,,,,,,,,,,
59,"Wrede S, Fenicia F, Martínez-Carreras N, Juilleret J, Hissler C, Krein A, Savenije HHG, Uhlenbrook S, Kavetski D, Pfister L. 2015. Towards more systematic perceptual model development: a case study using 3 Luxembourgish catchments. Hydrological processes 29 (12): 2731–2751",https://doi.org/10.1002/hyp.10393,Weierbach catchment,2 part C,Not open-access,,Not open-access,,N,N,1,N,N,1,N,N,N,N,Geological types described,Y,Slopes described,Shows slopes of cross-section,N,N,Uncertainty described,"Y, by arrow type for high/med/low confidence level","Shows speed of process by arrow length, shows which process knowledge gained by which catchment investigation/data type",3.0,"Subsurface stormflow, Subsurface stormflow, Saturation excess flow",3.0,Lateral subsurface flow (soil),Subsurface stormflow, Lateral subsurface flow (saprock and periglacial coverbeds),Subsurface stormflow , saturation overland flow,Saturation excess flow,,,,,,,,,,,,,,,,,,,,,,,3.0,"Soil water storage, Soil water storage, Groundwater storage",3.0,Soil,Soil water storage, Periglacial coverbed,Soil water storage , schist,Groundwater Storage,,,,,,,,,,,,,,
60,"Wrede S, Fenicia F, Martínez-Carreras N, Juilleret J, Hissler C, Krein A, Savenije HHG, Uhlenbrook S, Kavetski D, Pfister L. 2015. Towards more systematic perceptual model development: a case study using 3 Luxembourgish catchments. Hydrological processes 29 (12): 2731–2752",https://doi.org/10.1002/hyp.10393,Wollefsbach,2 part C,Not open-access,,Not open-access,,N,N,1,N,N,1,N,N,N,N,Geological types described,Y,Slopes described,Shows slopes of cross-section,N,N,Uncertainty described,"Y, by arrow type for high/med/low confidence level","Shows speed of process by arrow length, shows which process knowledge gained by which catchment investigation/data type",2.0,"Saturation excess flow, Subsurface stormflow",2.0,Lateral subsurface flow (soil),Subsurface stormflow, saturation overland flow,Saturation excess flow,,,,,,,,,,,,,,,,,,,,,,,,,2.0,"Groundwater storage, Soil water storage",2.0,Soil,Soil water storage, marls,Groundwater Storage,,,,,,,,,,,,,,,,
61,"Xiao, Xiong, Fan Zhang, Xiaoyan Li, Chen Zeng, Xiaonan Shi, Huawu Wu, Muhammad Dodo Jagirani, and Tao Che. “Using Stable Isotopes to Identify Major Flow Pathways in a Permafrost Influenced Alpine Meadow Hillslope during Summer Rainfall Period.” Hydrological Processes 34, no. 5 (2020): 1104–16.",https://doi.org/10.1002/hyp.13650,"Yakou catchment, Qinghai",9,Not open-access,,Not open-access,,N,N,1,N,"N (shows potential changes under climate change in second diagram, but not considered here)",1,N,N,N,N,N,N,N,N,N,N,N,N,Also groups water bodies by their stable isotope composition,4.0,"Subsurface stormflow, Overland Flow, Return Flow, Lateral matrix flow at soil horizons",4.0,Shallow subsurface flow,Subsurface stormflow, surface flow (arrow only),Overland flow, return flow (arrow only),Return Flow, saturated flow at frozen foil interface (arrow only),Lateral matrix flow at soil horizons,,,,,,,,,,,,,,,,,,,,,5.0,"Perched water tables, Seasonal soil freeze/thaw, Channel storage, Soil water storage, Seasonal soil freeze/thaw",5.0,Stream water,Channel storage, frozen soil layer,Seasonal soil freeze/thaw, thawed soil layer,Seasonal soil freeze/thaw , supra-permafrost water - saturated,Perched water tables, mobile soil water,Soil water storage,,,,,,,,,,
62,"Zhang, Guotao, Peng Cui, Carlo Gualtieri, Junlong Zhang, Nazir Ahmed Bazai, Zhengtao Zhang, Jiao Wang, Jinbo Tang, Rong Chen, and Mingyu Lei. “Stormflow Generation in a Humid Forest Watershed Controlled by Antecedent Wetness and Rainfall Amounts.” Journal of Hydrology 603 (2021): 127107.",https://doi.org/10.1016/j.jhydrol.2021.127107,"Longxi River Experimental Watershed, northwest of Chengdu city, Sichuan",12,Not open-access,,Not open-access,,N,N,1,Rainfall intensity,"Low, moderate, high rainfall intensity",3,Vegetation described,Various tree and vegetation icons ,N,N,N,N,N,N,N,N,N,N,,6.0,"Infiltration, Vertical matrix flow, Lateral macropore flow at soil-bedrock interface, Gaining stream, Connectivity between hillslopes and channel, Vertical macropore flow",7.0,Matrix flow,Vertical matrix flow, infiltration,Infiltration, baseflow,Gaining stream, fill and spill,Lateral macropore flow at soil-bedrock interface, water table rise,Water table rise, preferential flow,Vertical macropore flow, connectivity between stream-hillslope,Connectivity between hillslopes and channel,,,,,,,,,,,,,,,9.0,"Groundwater storage, Channel storage, Organic Layer, Bedrock hollows, Soil water storage (1-3), Canopy storage, Perched water tables, Soil saturation, Water table rise",10.0,O horizons,Organic Layer,A/B/C soil horizons,Soil water storage (1-3), bedrock,Groundwater Storage, bedrock depressions,Bedrock hollows, temporary perched water,Perched water tables, channel,Channel storage, saturated zone at soil-bedrock interface,Soil saturation, canopy storage,Canopy storage,,,,
